"GHDx Record ID","GHDx Record Title","GHDx Record URL","Data provider","Data Provider URL","Series","Geography","Data type","Time period covered","Summary","Ongoing Coverage","Suggested citation"
23982,"Mexico National Survey of Demographic Dynamics 2006","/record/mexico-national-survey-demographic-dynamics-2006","National Institute of Statistics and Geography (INEGI) (Mexico)","https://en.www.inegi.org.mx/programas/enadid/2006/","Mexico National Survey of Demographic Dynamics (ENADID)","Mexico","Survey","NA to NA","For the third ENADID survey, the National Institute of Public Health surveyed 41,926 households. The previous survey was conducted in 1997. The household questionnaire includes topics such as housing conditions, durable goods, health insurance coverage, subnational and international migration, family composition, education and employment. The women's questionnaire covers family planning, birth history, vital registration (births and deaths), desired number of children, knowledge of contraception, contraception use and healh care use during pregnancy and birth.
",NA,"National Institute of Statistics, Geography, and Informatics (Mexico), National Institute for Public Health (Mexico), National Population Council (Mexico). Mexico National Survey of Demographic Dynamics 2006. Aguascalientes, Mexico: National Institute of Statistics, Geography, and Informatics (Mexico).
"
25945,"Brazil Live Birth Information System SINASC 2000","/record/brazil-live-birth-information-system-sinasc-2000","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2000 to 12/2000","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2000. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
25950,"Brazil Live Birth Information System SINASC 2001 ","/record/brazil-live-birth-information-system-sinasc-2001","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2001 to 12/2001","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2001 . Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
25955,"Brazil Live Birth Information System SINASC 2002","/record/brazil-live-birth-information-system-sinasc-2002","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2002 to 12/2002","Brazil Live birth information for 2002
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2002. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
25960,"Brazil Live Birth Information System SINASC 2003","/record/brazil-live-birth-information-system-sinasc-2003","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2003 to 12/2003","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2003. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
25965,"Brazil Live Birth Information System SINASC 2004","/record/brazil-live-birth-information-system-sinasc-2004","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2004 to 12/2004","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2004. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
25970,"Brazil Live Birth Information System SINASC 2005","/record/brazil-live-birth-information-system-sinasc-2005","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2005 to 12/2005","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2005. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
25975,"Brazil Live Birth Information System SINASC 2006","/record/brazil-live-birth-information-system-sinasc-2006","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2006 to 12/2006","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2006. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
26005,"Brazil Live Birth Information System SINASC 2007","/record/brazil-live-birth-information-system-sinasc-2007","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2007 to 12/2007","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2007. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
26008,"Brazil Live Birth Information System SINASC 2008","/record/brazil-live-birth-information-system-sinasc-2008","Ministry of Health (Brazil)","http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1&acao=28&pad=31655","Brazil Live Birth Information System (SINASC)","Brazil","Vital registration","01/2008 to 12/2008","Managed by the Secretariat of Health Surveillance, Ministry of Health, the Live Birth Information System (SINASC) provides microdata for live births by sex, birth place, birth weight, age and residence of mother, plus other variables.
",NA,"Secretariat of Health Surveillance, Ministry of Health (Brazil). Brazil Live Birth Information System SINASC 2008. Rio de Janeiro, Brazil: Ministry of Health (Brazil).
"
26433,"Côte d'Ivoire Multiple Indicator Cluster Survey 2006","/record/c%C3%B4te-divoire-multiple-indicator-cluster-survey-2006","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Côte d'Ivoire","Survey","08/2006 to 10/2006","Part of MICS3, an international survey initiative to monitor the situation of children and women, covering health, education, child protection and HIV/AIDS; it includes vaccination, contraceptive use and symptoms like diarrhea, cough and fever.
",NA,"United Nations Children's Fund (UNICEF), National Institute of Statistics (Côte d'Ivoire). Côte d'Ivoire Multiple Indicator Cluster Survey 2006. New York, United States: United Nations Children's Fund (UNICEF).
"
26642,"Burkina Faso Global Fund Household Health Coverage Survey 2008","/record/burkina-faso-global-fund-household-health-coverage-survey-2008","","","Global Fund Household Health Coverage Survey","Burkina Faso","Survey","01/2008 to 12/2008","Burkina Faso Global Fund Household Health Coverage Survey 2008
",NA,"Global Fund to Fight Aids Tuberculosis and Malaria (GFATM). Burkina Faso Global Fund Household Health Coverage Survey 2008.
"
26661,"Ethiopia Global Fund Household Health Coverage Survey 2008","/record/ethiopia-global-fund-household-health-coverage-survey-2008","International Household Survey Network (IHSN)","http://catalog.ihsn.org/index.php/catalog/166/study-description#page=accesspolicy&tab=study-desc","Global Fund Household Health Coverage Survey","Ethiopia","Survey","01/2008 to 05/2008","This national survey was conducted under the Global Fund Five-Year Evaluation to provide data on a variety of health related subjects including tuberculosis, HIV/AIDS, utilization of health services, sexual behavior, prevalence of Indoor Residual Spraying and bednets, and health expenditures.
A household questionnaire and a women's questionnaire were used to survey the population. Questionnaire modules were based on the standard DHS. A total of 8,325 households and 7,457 women were included in the sample.
",NA,"Ethiopian Health and Nutrition Research Center (EHNRI), Macro International, Inc, Ministry of Health (Ethiopia). Ethiopia Global Fund Household Health Coverage Survey 2008.
"
26680,"Haiti Global Fund Household Survey 2008","/record/haiti-global-fund-household-survey-2008","","","Global Fund Household Health Coverage Survey","Haiti","Survey","01/2008 to 12/2008","",NA,"Global Fund to Fight Aids Tuberculosis and Malaria (GFATM). Haiti Global Fund Household Survey 2008.
"
26702,"Zambia Global Fund Household Health Coverage Survey 2008","/record/zambia-global-fund-household-health-coverage-survey-2008","Central Statistical Office (Zambia)","http://www.zamstats.gov.zm/nada/?page=home.html","Global Fund Household Health Coverage Survey","Zambia","Survey","03/2008 to 05/2008","This national survey was conducted under the Global Fund Five-Year Evaluation to provide data on a variety of health related subjects including tuberculosis, HIV/AIDS, utilization of health services, sexual behavior, prevalence of Indoor Residual Spraying and bednets, and health expenditures.
A household questionnaire and a women's questionnaire were used to survey the population. Questionnaire modules were based on the standard DHS. A total of 4,650 households and 4,873 women were included in the sample. An overall response rate of 94% was achieved for both households and individuals.
",NA,"Central Statistical Office (Zambia). Zambia Global Fund Household Health Coverage Survey 2008. Lusaka, Zambia: Central Statistical Office (Zambia).
"
26826,"Bangladesh Demographic and Health Survey 1999-2000","/record/bangladesh-demographic-and-health-survey-1999-2000","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-135.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Bangladesh","Survey","11/1999 to 03/2000","Part of phase 4 of the DHS, the 1999-2000 Bangladesh Demographic and Health Suervey was a comprehensive, nationally representative household survey. Out of 10,628 households selected for the sample design, 9,854 were seccessfully interviewed, out of which 10,544 women (aged 10-49) and 2,556 men (aged 15 to 59) were surveyed.
The survey included three questionnaires:

A household survey that collected demographic information.
A women's questionnaire that covered topics such as reproductive history, family planning, maternal care, marriage, and health literacy concerning HIV and AIDs.
A men's questionnaire that was similar to the woman's questionnaire, with the ommissions of reproductive history and maternal care.

The 1999-2000 Bangladesh Service Provision Assessment occured alongside the 1999-2000 Bangladesh DHS, collecting information on the same topics through facility questionnaires.
",NA,"Macro Systems, Inc, Mitra and Associates, National Institute of Population Research and Training (NIPORT). Bangladesh Demographic and Health Survey 1999-2000. Fairfax, United States of America: ICF International.
"
26855,"Senegal Demographic and Health Survey 2005","/record/senegal-demographic-and-health-survey-2005","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-233.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Senegal","Survey","02/2005 to 05/2005","The Senegal Demographic and Health Survey 2005 is part of phase 4 of the Demographic and Health Survey (DHS) series, a comprehensive, nationally representative household survey. Topics commonly covered in DHS education, health, nutrition, family planning, and household characteristics.
",NA,"Ministry of Health and Prevention (Senegal), Research Center for Human Development (Senegal). Senegal Demographic and Health Survey 2005. Fairfax, United States of America: ICF International.
"
26866,"Sao Tome and Principe Demographic and Health Survey 2008-2009","/record/sao-tome-and-principe-demographic-and-health-survey-2008-2009","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-318.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Sao Tome and Principe","Survey","09/2008 to 01/2009","The Sao Tome and Principe Demographic and Health Survey 2008-2009 is part of phase 5 of the Demographic and Health Survey Series (DHS) series, a comprehensive, nationally representative household survey. Topics commonly covered in DHS include education, health, nutrition, family planning, and household characteristics.
",NA,"ICF Macro, Ministry of Health (Sao Tome and Principe), National Institute of Statistics (Sao Tome and Principe). Sao Tome and Principe Demographic and Health Survey 2008-2009. Fairfax, United States of America: ICF International.
"
26998,"Democratic Republic of the Congo Multiple Indicator Cluster Survey 2010","/record/democratic-republic-congo-multiple-indicator-cluster-survey-2010","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Democratic Republic of the Congo","Survey","02/2010 to 04/2010","Part of MICS4, an international survey initiative to monitor the situation of children and women, covering health, education, child protection and HIV/AIDS; it includes vaccination, contraceptive use and symptoms like diarrhea, cough and fever.
",NA,"National Statistical Institute (Congo, DR), Ministry of Planning (Congo, DR), United Nations Children's Fund (UNICEF). Congo, DR Multiple Indicator Cluster Survey 2010. New York, United States: United Nations Children's Fund (UNICEF).
"
27044,"Senegal Multiple Indicator Cluster Survey 2000","/record/senegal-multiple-indicator-cluster-survey-2000","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Senegal","Survey","05/2000 to 07/2000","Part of MICS2, an international survey initiative to monitor the situation of children and women, covering health, education, child protection and HIV/AIDS; it includes vaccination, contraceptive use and symptoms like diarrhea, cough and fever.
",NA,"Directorate of Forecasting and Statistics, Ministry of the Economy, Finance and Planning (Senegal), Ministry of Economy and Finance (Senegal), United Nations Children's Fund (UNICEF). Senegal Multiple Indicator Cluster Survey 2000. New York, United States of America: United Nations Children's Fund (UNICEF).
"
27215,"Guinea-Bissau Multiple Indicator Cluster Survey 2010","/record/guinea-bissau-multiple-indicator-cluster-survey-2010","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Guinea-Bissau","Survey","03/2010 to 07/2010","The Guinea-Bissau Multiple Indicator Cluster Survey (MICS) 2010 is part of MICS4, an international survey initiative to monitor the situation of children and women. Topics commonly covered in MICS include immunization, education, child and maternal health, family planning and knowledge of HIV/AIDS. MICS also provides data for tracking progress toward Millennium Development Goals (MDGs) and Sustainable Development Goals (SDGs), particularly those related to health, education and mortality.
",NA,"Centers for Disease Control and Prevention (CDC), National Statistics Institute (Guinea-Bissau), United Nations Children's Fund (UNICEF). Guinea-Bissau Multiple Indicator Cluster Survey 2010. New York, United States of America: United Nations Children's Fund (UNICEF), 2018.
"
27297,"Tanzania National Panel Survey 2008-2009","/record/tanzania-national-panel-survey-2008-2009","World Bank","http://microdata.worldbank.org/index.php/catalog/76","Living Standards Measurement Study - Integrated Surveys on Agriculture (LSMS-ISA), Living Standards Measurement Study (LSMS), Tanzania National Panel Survey (TNPS), Living Standards Measurement Study (LSMS) - World Bank","United Republic of Tanzania","Survey","10/2008 to 10/2009","Part of the Integrated Surveys on Agriculture project at the World Bank, the Tanzania National Panel Survey is the first in a series of nationally representative household panel surveys collecting information on topics ranging from agricultural production to consumer expenditures. The survey instruments included a household questionnaire, agricultural questionnaire, and community questionnaire. The total sample size was 3,380 households.
",NA,"National Bureau of Statistics (Tanzania). Tanzania Living Standards Measurement Study - Integrated Survey on Agriculture 2008-2009. Dar es Salaam, Tanzania: National Bureau of Statistics (Tanzania).
"
27525,"Paraguay Reproductive Health Survey 2008","/record/paraguay-reproductive-health-survey-2008","Centers for Disease Control and Prevention (CDC)","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Paraguay","Survey","06/2008 to 10/2008","The 2008 Paraguay RHS covers: fertility, contraceptive use, sexual behavior of young adults, violence against women, and maternal and child health services. n=6,540 women 15-44.
",NA,"Paraguay Center for Population Studies (CEPEP). Paraguay Reproductive Health Survey 2008. Asunción, Paraguay: Paraguayan Center for Population Studies (CEPEP).
"
27551,"Honduras Reproductive Health Survey 2001","/record/honduras-reproductive-health-survey-2001","Centers for Disease Control and Prevention (CDC)","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Honduras","Survey","02/2001 to 09/2001","The 2001 Honduras RHS covers: fertility, family planning, contraceptive use, sexual behavior of tyoung adults, maternal and child health, infant and child mortality, breastfeeding, HIV/AIDS, and violence against women.
",NA,"Honduras Family Planning Association (ASHONPLAFA), Ministry of Health (Honduras), and Division of Reproductive Health-Centers for Disease Control and Prevention (CDC). Honduras Reproductive Health Survey 2001. Tegucigalpa, Honduras: Honduras Family Planning Association (ASHONPLAFA).
"
27563,"Guatemala Reproductive Health Survey 2002","/record/guatemala-reproductive-health-survey-2002","Centers for Disease Control and Prevention (CDC)","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Guatemala","Survey","04/2002 to 11/2002","The 2002 Guatemala RHS resulted in two reports: the women's and men's report. The study documents trends in fertility, family planning use, young adult reproductive health and practices, infant health and mortality, nutrition, HIV/AIDS, domestic violence, knowledge and use of condoms (men only), and school attendance. n=9,155 women 15-49 and 2,538 men 15-59.
",NA,"Guatemala Ministry of Health and Social Assistance, University of Valle, Division of Reproductive Health-Centers for Disease Control and Prevention (CDC). (2003) Guatemala Reproductive Health Survey 2002. Atlanta, United States: Centers for Disease Control and Prevention (CDC).
"
27615,"Ecuador Reproductive Health Survey 1994","/record/ecuador-reproductive-health-survey-1994","Centers for Disease Control and Prevention (CDC)","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Ecuador","Survey","05/1994 to 08/1994","The 1994 Ecuador FP/MCHS covers:  fertility, contraceptive use, young adult sexual experience, child mortality, maternal and child health, screening for cervical cancer, and education. N=13,582 women 14-49.
",NA,"Center for Studies of Population and Social Development (CEPAR), Division of Reproductive Health-Centers for Disease Control and Prevention (CDC). (1995) Ecuador Reproductive Health Survey 1994. Atlanta, United States: Centers for Disease Control and Prevention (CDC).
"
27894,"Jamaica Contraceptive Prevalence Survey 1993","/record/jamaica-contraceptive-prevalence-survey-1993","Derek Gordon Databank, University of the West Indies","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Jamaica","Survey","02/1993 to 08/1993","The 1993 Jamaica CPS is the fifth in a series of maternal and child health studies published in five volumes. Survey covers: knowledge and attitudes towards family planning and AIDS, sexual experience, contraceptive use, sexual behavior among young adults, and health region profiles. n=3,110 women 15-44 and 3,082 men 15-54.
Microdata may be available on request from the Derek Gordon Databank at the University of the West Indies.
",NA,"Jamaica National Family Planning Board (NFPB), Jamaica Ministry of Health, Division of Reproductive Health-Centers for Disease Control and Prevention (CDC). (1994): Jamaica Contraceptive Prevalence Survey 1993. Kingston, Jamaica.
"
30261,"Belize Family Health Survey 1999","/record/belize-family-health-survey-1999","Central American Population Center, University of Costa Rica","http://ccp.ucr.ac.cr/archiv/belice/be99.htm","Reproductive Health Survey (RHS)","Belize","Survey","10/1999 to 12/1999","The 1999 Belize Family Health Survey is a follow up to the 1991 survey. It covers: fertility, knowledge and use of contraceptives, family planning, breastfeeding, use of maternal and child health services, immunizations, child morbidity and mortality, and knowledge of HIV/AIDS.
Data from this survey are available for download from the Central American Population Center (El Centro Centroamericano de Población) at the University of Costa Rica.
",NA,"Belize Central Statistical Office. Belize Family Health Survey 1999. Belmopan, Belize: Belize Central Statistical Office.
"
30325,"Swaziland Multiple Indicator Cluster Survey 2010","/record/swaziland-multiple-indicator-cluster-survey-2010","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Eswatini","Survey","08/2010 to 11/2010","Part of MICS4, an international survey initiative to monitor the situation of children and women, covering health, education, child protection and HIV/AIDS; it includes vaccination, contraceptive use and symptoms like diarrhea, cough and fever. The sample included 5,475 households selected from 365 enumeration areas. Populations included men ages 15–59 years, women ages 15–49 years, and children under five years of age. Among the sampled households, a total of 4,834 households, 4,956 women, 4,646 women and 2,711 children were successfully interviewed. This MICS included extensive questions about malaria.
",NA,"Central Statistical Office (Swaziland), United Nations Children's Fund (UNICEF). Swaziland Multiple Indicator Cluster Survey 2010. New York, United States of America: United Nations Children's Fund (UNICEF).
"
30379,"Cambodia Demographic and Health Survey 2010-2011","/record/cambodia-demographic-and-health-survey-2010-2011","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-310.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Cambodia","Survey","07/2010 to 01/2011","Part of phase 6 of the DHS series, a comprehensive, nationally representative household survey. Covers population, education, health, nutrition, family planning and household characteristics.
",NA,"ICF Macro, Ministry of Health (Cambodia), National Institute of Statistics (Cambodia). Cambodia Demographic and Health Survey 2010-2011. Fairfax, United States of America: ICF International.
"
30431,"Burundi Demographic and Health Survey 2010-2011","/record/burundi-demographic-and-health-survey-2010-2011","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-346.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Burundi","Survey","08/2010 to 06/2011","The total sample size for the 2010 Burundi Demographic and Health Survey was 9,024 households. A two-stage stratification sample method was used and a total of 376 clusters (301 rural and 75 urban) were selected by probability proportional to size. The survey included three questionnaires: household, women, and men.
There were a total of 9,389 female respondents ages 15-49 and 4,280 male respondents ages 15-59. In half of the selected households, blood sampling was done for women, men, and children to test for anemia prevalence. Blood samples for men and women were also tested for HIV. Anthropometric measurements were taken for women and children under age five.
",NA,"Burundi Institute of Statistics and Economic Studies, ICF International, Ministry of Public Health and the Fight Against AIDS (Burundi). Burundi Demographic and Health Survey 2010-2011. Fairfax, United States of America: ICF International, 2012.
"
31050,"Cambodia Socio-Economic Survey 2006-2007","/record/cambodia-socio-economic-survey-2006-2007","National Institute of Statistics (Cambodia)","http://www.ictnis.com/nada/index.php/catalog/33/related_materials","Cambodia Socio-Economic Survey","Cambodia","Survey","10/2006 to 12/2007","The purpose of the Cambodian Socio-Economic Survey (CSES) is to collect data that capture household conditions and the degree of poverty. The data were collected through a household questionnaire. The main themes of the questionnaire were demographics, living conditions, agriculture, labor, health, victimization, household income, and household consumption.
",NA,"National Institute of Statistics (Cambodia), Statistics Sweden. Cambodia Socio-Economic Survey 2006-2007. Phnom Penh, Cambodia: National Institute of Statistics (Cambodia).
"
31143,"Cambodia Socio-Economic Survey 2009","/record/cambodia-socio-economic-survey-2009","National Institute of Statistics (Cambodia)","https://nada-nis.gov.kh/index.php/catalog/14","Cambodia Socio-Economic Survey","Cambodia","Survey","01/2009 to 12/2009","The purpose of the Cambodian Socio-Economic Survey (CSES) is to collect data that capture household conditions and the degree of poverty. The data were collected through a household questionnaire and a village questionnaire. The main themes of the questionnaires were demographics, living conditions, agriculture, labor, health, victimization, household income, and household consumption.
Household questionnaires were answered through in-home in-person interviews. Each household also filled out a month long daily diary on income, expenditures, and consumption.  The sample size was 12,000 households. The village questionnaires were answered through in-person interviews with head members of each community.
",NA,"National Institute of Statistics (Cambodia), Statistics Sweden. Cambodia Socio-Economic Survey 2009. Phnom Penh, Cambodia: National Institute of Statistics (Cambodia).
"
31786,"Tanzania - Shinyanga Core Welfare Indicators Questionnaire Survey 2004","/record/tanzania-shinyanga-core-welfare-indicators-questionnaire-survey-2004","Economic Development Initiatives (EDI)","http://www.edi-africa.com/research/cwiq.htm","Core Welfare Indicators Questionnaire Survey (CWIQ)","United Republic of Tanzania, Shinyanga","Survey","03/2004 to 04/2004","Under the District Rural Development Programme, this survey was conducted in all seven rural districts (Kahama, Bukombe, Bariadi, Meatu, Maswa, Shinyanga Rural, and Kishapu) of the Shinyanga region. It was the first survey of its kind to be carried out in the region. Information was collected on household demographics, employment, education, health and nutrition, and social services.
",NA,"Economic Development Initiatives (EDI), National Bureau of Statistics (Tanzania), Institute of Finance Management (Tanzania), World Bank (WB). Tanzania - Shinyanga Core Welfare Indicators Questionnaire Survey 2004. Bukoba, Tanzania: Economic Development Initiatives (EDI).
"
31797,"Tanzania Core Welfare Indicators Questionnaire Survey 2005","/record/tanzania-core-welfare-indicators-questionnaire-survey-2005","Economic Development Initiatives (EDI)","http://www.edi-africa.com/research/cwiq.htm","Core Welfare Indicators Questionnaire Survey (CWIQ)","United Republic of Tanzania, Arusha, Dodoma, Manyara","Survey","03/2005 to 04/2005","The 2005 CWIQ survey in Tanzania was conducted in the largely rural districts of Karatu, Kondoa, Mbulu, and Monduli. In addition to the information on  household demographics, employment, education, health and nutrition, and social services that was collected in other districts in earlier years, the 2005 survey included anthropomorphic measurements of household members under the age of 5 and GPS coordinates of the households as well as key services in the surrounding area. Data were collected at the household and community level.
",NA,"Economic Development Initiatives (EDI), World Bank (WB). Tanzania Core Welfare Indicators Questionnaire Survey 2005. Bukoba, Tanzania: Economic Development Initiatives (EDI).
"
31831,"Tanzania Core Welfare Indicators Questionnaire Survey 2006-2007","/record/tanzania-core-welfare-indicators-questionnaire-survey-2006-2007","Economic Development Initiatives (EDI)","http://www.edi-africa.com/research/cwiq.htm ","Core Welfare Indicators Questionnaire Survey (CWIQ)","United Republic of Tanzania, Arusha, Dar es Salaam, Dodoma, Kagera, Kigoma, Manyara, Mara, Morogoro, Pwani, Shinyanga, Singida, Tanga","Survey","01/2006 to 12/2007","This survey was conducted in 28 districts throughout Tanzania, 9 of which (Bariadi, Bukoba, Bukombe, Kahama, Karagwe, Kishapu, Maswa, Meatu, and Ngara) were included in previous CWIQ surveys. As with the earlier surveys, data were collected on household demographics, employment, education, health and nutrition, and social services.
",NA,"Economic Development Initiatives (EDI), World Bank (WB). Tanzania Core Welfare Indicators Questionnaire Survey 2006-2007. Bukoba, Tanzania: Economic Development Initiatives (EDI).
"
32189,"Sudan - South Multiple Indicator Cluster Survey 2010","/record/sudan-south-multiple-indicator-cluster-survey-2010","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","South Sudan, Sudan, Sudan [Historical]","Survey","03/2010 to 05/2010","Part of MICS 4, the Sudan MICS 2010 was based on both the Multiple Indicator Cluster Survey (MICS) and Pan Arab Project for Family Health (PAPFAM) methodologies. 
Topics covered included literacy, infant and child mortality, nutrition, salt iodization, immunization, breastfeeding, treatment for diarrhea, pneumonia symptoms, malaria symptoms, female genital mutilation, polygyny, knowledge of HIV/AIDS, and birth registration.
The sample for the second South Sudan Household Health Survey (SHHS 2) was designed to provide estimates for a large number of indicators on the situation of children and women at the national level, for urban and rural areas, and for the 10 states across the country: Upper Nile, Jonglei, Unity, Warap Northern Bahr El Ghazal, Western Bahr El Ghazal, Lakes, Western Equatoria, Central Equatoria, Eastern Equatoria.
",NA,"Central Bureau of Statistics (Sudan), Federal Ministry of Health (Sudan), Government of Sudan, Ministry of Health (South Sudan), Southern Sudan Centre for Census, Statistics and Evaluation. Sudan - South Multiple Indicator Cluster Survey 2010. New York, United States of America: United Nations Children's Fund (UNICEF), 2015.
"
33173,"Brazil National Survey on Health and Nutrition 1989","/record/brazil-national-survey-health-and-nutrition-1989","Inter-university Consortium for Political and Social Research (ICPSR)","http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/2294?prefix=B&geography[0]=Brazil&paging.startRow=1","","Brazil","Survey","07/1989 to 09/1989","This one-time survey, abbreviated as PNSN, provides demographic, health, and nutritional information on Brazil's population. The nationally representative sample of 17,920 households was surveyed on topics of housing conditions, employment and economic activities, fertility and pregnancy, breastfeeding, nutritional programs, self-reported health issues, and health care use. Anthropomorpohic measurements were taken of 62,000 participants.
",NA,"National Institute of Food and Nutrition (INAN) (Brazil), Institute of Applied Economic Research (IPEA) (Brazil), Inter-University Consortium for Political and Social Research (ICPSR). Brazil National Survey on Health and Nutrition 1989. Ann Arbor, United States: Inter-University Consortium for Political and Social Research (ICPSR).
"
